iteration,label,operation,gas_used,duration_ms,policy_id,outcome
208,createTestPolicy_208,createTestPolicy,227513,0.665,208,
208,finalize_208,finalize,92730,0.584,208,payout
209,createTestPolicy_209,createTestPolicy,227513,0.652,209,
209,expirePolicy_209,expirePolicy,55069,0.457,209,expired
210,createTestPolicy_210,createTestPolicy,227513,0.656,210,
210,finalize_210,finalize,69676,0.516,210,no_payout
211,createTestPolicy_211,createTestPolicy,227513,0.662,211,
211,expirePolicy_211,expirePolicy,55069,0.445,211,expired
212,createTestPolicy_212,createTestPolicy,227513,0.654,212,
212,finalize_212,finalize,92730,0.584,212,payout
213,createTestPolicy_213,createTestPolicy,227513,0.664,213,
213,expirePolicy_213,expirePolicy,55069,0.474,213,expired
214,createTestPolicy_214,createTestPolicy,227513,0.681,214,
214,finalize_214,finalize,69676,0.541,214,no_payout
215,createTestPolicy_215,createTestPolicy,227513,0.703,215,
215,expirePolicy_215,expirePolicy,55069,0.480,215,expired
216,createTestPolicy_216,createTestPolicy,227513,0.665,216,
216,finalize_216,finalize,92730,0.566,216,payout
217,createTestPolicy_217,createTestPolicy,227513,0.659,217,
217,expirePolicy_217,expirePolicy,55069,0.459,217,expired
218,createTestPolicy_218,createTestPolicy,227513,0.653,218,
218,finalize_218,finalize,69676,0.523,218,no_payout
219,createTestPolicy_219,createTestPolicy,227513,0.661,219,
219,expirePolicy_219,expirePolicy,55069,0.482,219,expired
220,createTestPolicy_220,createTestPolicy,227513,0.686,220,
220,finalize_220,finalize,92730,0.603,220,payout
221,createTestPolicy_221,createTestPolicy,227513,0.683,221,
221,expirePolicy_221,expirePolicy,55069,0.508,221,expired
222,createTestPolicy_222,createTestPolicy,227513,0.751,222,
222,finalize_222,finalize,69676,0.676,222,no_payout
223,createTestPolicy_223,createTestPolicy,227513,0.793,223,
223,expirePolicy_223,expirePolicy,55069,0.483,223,expired
224,createTestPolicy_224,createTestPolicy,227513,0.736,224,
224,finalize_224,finalize,92730,0.580,224,payout
225,createTestPolicy_225,createTestPolicy,227513,0.670,225,
225,expirePolicy_225,expirePolicy,55069,0.480,225,expired
226,createTestPolicy_226,createTestPolicy,227513,0.665,226,
226,finalize_226,finalize,69676,0.515,226,no_payout
227,createTestPolicy_227,createTestPolicy,227513,0.690,227,
227,expirePolicy_227,expirePolicy,55069,0.504,227,expired
228,createTestPolicy_228,createTestPolicy,227513,0.657,228,
228,finalize_228,finalize,92730,0.603,228,payout
229,createTestPolicy_229,createTestPolicy,227513,0.721,229,
229,expirePolicy_229,expirePolicy,55069,0.486,229,expired
